search_term,page_num,allsides_url,detail_title,bias,tags,publish_date,source_url
immigration,5.0,https://www.allsides.com/news/2025-07-15-1700/healthcare-federal-raids-lead-over-300-immigrant-arrests-california-cannabis,Federal raids lead to over 300 immigrant arrests at California cannabis farms,Center,Health Utah Healthcare,,https://deseret.com/the-west/2025/07/15/california-pot-farm-ice-raid-over-300-arrested
immigration,5.0,https://www.allsides.com/news/2025-07-15-1400/immigration-trumps-most-aggressive-immigration-policy-yet-just-dropped,Trump's Most Aggressive Immigration Policy Yet Just Dropped,Right,Immigration Politics,,https://townhall.com//tipsheet/jeff-charles/2025/07/15/trump-administration-declares-illegal-immigrants-ineligible-for-bond-n2660388
immigration,5.0,https://www.allsides.com/news/2025-07-17-1900/immigration-bernie-moreno-unveils-bill-punish-executives-who-hire-illegal,Bernie Moreno Unveils Bill to Punish Executives Who Hire Illegal Immigrants,Right,Immigration Politics,,https://townhall.com//tipsheet/saraharnold/2025/07/17/bernie-moreno-unveils-bill-to-punish-executives-who-hire-illegal-immigrants-n2660565
immigration,5.0,https://www.allsides.com/news/2025-07-15-0617/immigration-california-farm-worker-injured-immigration-raids-dies-more-300,"California farm worker injured in immigration raids dies; more than 300 arrested, feds say",Lean Left,Immigration ICE Migrants Detainment California,,https://www.cbsnews.com/news/more-than-300-arrested-immigration-raids-southern-california-farms-feds/
immigration,5.0,https://www.allsides.com/news/2025-07-19-0900/immigration-immigration-raids-are-giving-californias-cannabis-industry,Immigration raids are giving California's cannabis industry flashbacks to the war on drugs,Center,California Health Immigration Politics,,https://calmatters.org/justice/2025/07/marijuana-immigration-raid
immigration,5.0,https://www.allsides.com/news/2025-07-17-1600/immigration-ice-granted-unprecedented-access-medicaid-database-help-identify,ICE granted unprecedented access to Medicaid database to help identify and deport illegal immigrants,Right,Health Immigration Politics,,https://foxnews.com/politics/ice-granted-unprecedented-access-medicaid-database-help-identify-deport-illegal-immigrants
ai,6.0,https://www.allsides.com/news/2025-07-18-1100/banking-and-finance-near-protocol-jumps-12-ai-sector-takes-flight,NEAR Protocol Jumps 12% as AI Sector Takes Flight,Center,AI Bitcoin Cryptocurrency Markets Banking and Finance,,https://coindesk.com/markets/2025/07/18/near-protocol-jumps-12-as-ai-sector-takes-flight
ai,6.0,https://www.allsides.com/news/2025-07-17-2300/technology-perplexity-sees-india-shortcut-its-race-against-openai,Perplexity sees India as a shortcut in its race against OpenAI,Center,AI Technology,,https://techcrunch.com/2025/07/17/perplexity-sees-india-as-a-shortcut-in-its-race-against-openai
ai,6.0,https://www.allsides.com/news/2025-07-16-2200/technology-nvidia-boss-praises-deepseek-and-chinese-ai-beijing-visit,Nvidia Boss Praises DeepSeek and Chinese AI in Beijing Visit,Lean Left,AI Technology,,https://bloomberg.com/news/articles/2025-07-17/nvidia-boss-praises-deepseek-and-chinese-ai-in-beijing-visit
ai,6.0,https://www.allsides.com/news/2025-07-19-0400/technology-ai-end-internet-we-know-it,AI is the end of the internet as we know it,Center,AI Technology,,https://qz.com/ai-chatbots-google-search-internet-bots
ai,6.0,https://www.allsides.com/news/2025-07-21-0600/technology-altman-plans-dc-push-democratize-ai-economic-benefits,"Altman plans D.C. push to ""democratize"" AI economic benefits",Lean Left,AI Technology,,https://axios.com/2025/07/21/sam-altman-openai-trump-dc-fed
ai,6.0,https://www.allsides.com/news/2025-07-18-0400/business-airbnb-s-ceo-studied-steve-jobs-s-playbook-slash-bureaucracy-and-build,Airbnb’s CEO studied Steve Jobs’s playbook to slash bureaucracy and build his $84 billion empire,Center,Business,,https://fortune.com/2025/07/18/airbnb-ceo-apple-steve-jobs-founder-mode-hiring
